episode_number,name,air_date,runtime,overview,backdrop
17,挖野菜家族决裂,,43,南珩故意受伤，宋一梦此时才明白，他是以自己中箭，来使楚归鸿陷入刺杀皇子的险境，果不其然，高相也配合他在皇宫门外带着群臣，求皇帝给个交待。宋一梦深感南珩之心机深沉，却不得不配合他演戏。最终，为了保全楚归鸿，皇帝与南珩交易，取消宋楚两家的婚约，南珩与宋一梦正各自窃喜，谁知此时皇帝又为南珩与宋一梦赐婚，并下达命令，一旦南珩成婚了，就前往他的封地吧。南珩大震，皇子就藩乃是前朝旧例，皇帝此举就是为了将他赶出京城，退出储君之争，可他已然爱上宋一梦，因而不再说什么，接下了这桩婚事。翌日，前来宣旨的刘公公刚到宋府，爱女心切的宋聿德竟一改往日圆滑的官场作风，哪怕丢失官职也不允女儿嫁给心性不正的南珩。宋一梦感动，正欲支援，谁料剧本中“名场面必发生”的机制再度被触发，强制着她做出为与南珩成婚而与家族决裂的举动。宋聿德心寒不已，入宫领罚。得知宋府乱象后，南珩与楚归鸿同时入宫营救宋聿德，皇帝为夺南珩手中兵权，趁机向二人提出可以手中一万兵马换宋聿德平安，宋聿德就要遭受重刑，南珩率先交权，表示自己愿意为宋大人受刑。,http://pic2.iqiyipic.com/image/20250701/3f/dc/v_182974491_m_601_1248_702.jpg
18,南珩替宋父受刑,,44,面对南珩劈开肉绽的惨状，宋聿德百感交集。原来此番削权代罚之策，是他与皇帝一同定计，意在测试南珩对宋一梦的心意。南珩聪慧，对此事已有怀疑，但心系宋一梦的他仍旧以身入局。责罚结束后，南珩不顾伤痛，急忙又化身离十六前往宋府探望被关入柴房的宋一梦，谁料经此一事的宋一梦竟再起刺杀南珩之心，决意从根结处改变命运，才能保护宋家不被南珩灭门的结局。离十六失落于宋一梦对南珩的看法始终没有改变，有苦难言，黯然离去。南瑞制造了与宋一汀的多次偶遇，宋一汀避之不及，却在街上偶遇了上官鹤。宋一汀冷嗤上官鹤为登徒子，令上官鹤气不打一处来，当将此事告知南珩时，南珩却惊讶地发现，书房中好像进贼了。他暗中布局，真的将暗处那人——楚归鸿引来。几日前，自打南珩为宋聿德替下鞭刑，楚归鸿心中始终郁郁，更是回忆起一件多年往事，于是抱着试一试地心态，想看看自己少年时所赠予南珩的《千羽兵记》是否在南珩手中，那里也许藏着父亲留给他的锻刀之法。,http://pic5.iqiyipic.com/image/20250701/b9/45/v_182974577_m_601_1248_702.jpg
